option_name,seq_no,display_text,value
INDIA_STATES,1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
INDIA_STATES,2,ANDHRA PRADESH,ANDHRA PRADESH
INDIA_STATES,3,ARUNACHAL PRADESH,ARUNACHAL PRADESH
INDIA_STATES,4,ASSAM,ASSAM
INDIA_STATES,5,BIHAR,BIHAR
INDIA_STATES,6,CHANDIGARH,CHANDIGARH
INDIA_STATES,7,CHATTISGARH,CHATTISGARH
INDIA_STATES,8,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI
INDIA_STATES,9,DAMAN & DIU,DAMAN & DIU
INDIA_STATES,10,DELHI,DELHI
INDIA_STATES,11,GOA,GOA
INDIA_STATES,12,GUJARAT,GUJARAT
INDIA_STATES,13,HARYANA,HARYANA
INDIA_STATES,14,HIMACHAL PRADESH,HIMACHAL PRADESH
INDIA_STATES,15,JAMMU & KASHMIR,JAMMU & KASHMIR
INDIA_STATES,16,JHARKHAND,JHARKHAND
INDIA_STATES,17,KARNATAKA,KARNATAKA
INDIA_STATES,18,KERALA,KERALA
INDIA_STATES,19,LAKSHADWEEP,LAKSHADWEEP
INDIA_STATES,20,MADHYA PRADESH,MADHYA PRADESH
INDIA_STATES,21,MAHARASHTRA,MAHARASHTRA
INDIA_STATES,22,MANIPUR,MANIPUR
INDIA_STATES,23,MEGHALAYA,MEGHALAYA
INDIA_STATES,24,MIZORAM,MIZORAM
INDIA_STATES,25,NAGALAND,NAGALAND
INDIA_STATES,26,ODISHA,ODISHA
INDIA_STATES,27,PONDICHERRY,PONDICHERRY
INDIA_STATES,28,PUNJAB,PUNJAB
INDIA_STATES,29,RAJASTHAN,RAJASTHAN
INDIA_STATES,30,SIKKIM,SIKKIM
INDIA_STATES,31,TAMIL NADU,TAMIL NADU
INDIA_STATES,32,TELANGANA,TELANGANA
INDIA_STATES,33,TRIPURA,TRIPURA
INDIA_STATES,34,UTTAR PRADESH,UTTAR PRADESH
INDIA_STATES,35,UTTARAKHAND,UTTARAKHAND
INDIA_STATES,36,WEST BENGAL,WEST BENGAL
